"object","property","value"
"PAYMENT.STOP>MOD.PS.CHQ.NO",,
"PAYMENT.STOP>MOD.CHQ.TYPE",,
"PAYMENT.STOP>MOD.PS.DATE",,
"PAYMENT.STOP>IN.DRAWER.BK.ACCT",,
"PAYMENT.STOP>IN.DRAWER.BANK",,
"PAYMENT.STOP>IN.DELIVERY.REF",,
"PAYMENT.STOP>INWARD.MSG.TYPE",,
"PAYMENT.STOP>IN.SWIFT.MSG",,
"PAYMENT.STOP>IN.PROCESS.ERR",,
"PAYMENT.STOP>REV.AUTH.DATE",,
"PAYMENT.STOP>DD.BC.SORT.CODE|BC.SORT.CODE","type","strong"
"PAYMENT.STOP>DD.MANDATE.REF|DD.DDI","type","strong"
"PAYMENT.STOP>DD.STOP.TYPE|PAYMENT.STOP.TYPE","type","strong"
"PAYMENT.STOP.BALANCES>@ID",,
"PAYMENT.STOP.BALANCES>CHG.TYPE",,
"PAYMENT.STOP.BALANCES>CHG.ACCOUNT",,
"PAYMENT.STOP.BALANCES>CHG.CURRENCY",,
"PAYMENT.STOP.BALANCES>CHG.AMOUNT",,
"PAYMENT.STOP.BALANCES>TAX.TYPE",,
"PAYMENT.STOP.BALANCES>TAX.AMT",,
"PAYMENT.STOP.BALANCES>TAX.CCY",,
"PAYMENT.STOP.BALANCES>TAX.DATE",,
"PAYMENT.STOP.BALANCES>PAYM.STOP.TYPE",,
"PAYMENT.STOP.BALANCES>FIRST.CHEQUE.NO",,
"PAYMENT.STOP.BALANCES>LAST.CHEQUE.NO",,
"PAYMENT.STOP.BALANCES>PS.CURR.NO",,
"PAYMENT.STOP.HIST>@ID",,
"PAYMENT.STOP.HIST>PAYM.STOP.TYPE|PAYMENT.STOP.TYPE","type","strong"
"PAYMENT.STOP.HIST>FIRST.CHEQUE.NO",,
"PAYMENT.STOP.HIST>LAST.CHEQUE.NO",,
"PAYMENT.STOP.HIST>CHEQUE.TYPE|CHEQUE.TYPE","type","strong"
"PAYMENT.STOP.HIST>STOP.DATE",,
"PAYMENT.STOP.HIST>AMOUNT.FROM",,
"PAYMENT.STOP.HIST>AMOUNT.TO",,
"PAYMENT.STOP.HIST>BENEFICIARY",,
"PAYMENT.STOP.HIST>STOP.END.FLAG",,
"PAYMENT.STOP.HIST>APPLY.DATE",,
"PAYMENT.STOP.HIST>PS.CURR.NO",,
"PAYMENT.STOP.HIST>REMARKS",,
"PAYMENT.STOP.TYPE>@ID",,
"PAYMENT.STOP.TYPE>DESCRIPTION",,
"PAYMENT.STOP.TYPE>CHARGE.CODE",,
"PC.CATEG.ADJUSTMENT>@ID",,
"PC.CATEG.ADJUSTMENT>CATEG.ENTRY.ID",,
"PC.CATEG.ADJUSTMENT>COMPANY.CODE",,
"PC.CATEG.ADJUSTMENT>START.PERIOD",,
"PC.PERIOD>@ID",,
"PC.PERIOD>PERIOD.STATUS",,
"PC.PERIOD>COMPANY",,
"PC.PERIOD>COMP.STATUS",,
"PC.PERIOD>DBASE.PATHNAME",,
"PC.PERIOD.XREF>@ID|COMPANY","type","strong"
"PC.PERIOD.XREF>PERIOD.END",,
"PC.STMT.ADJUSTMENT>@ID",,
"PC.STMT.ADJUSTMENT>STMT.ENTRY.ID",,
"PC.STMT.ADJUSTMENT>COMPANY.CODE",,
"PC.STMT.ADJUSTMENT>START.PERIOD",,
"PC.UPDATE.REQUEST>@ID|PC.PERIOD","type","strong"
"PC.UPDATE.REQUEST>COMPANY",,
"PC.UPDATE.REQUEST>ALL.COMP",,
"PCB.ACCT.CONSOL>@ID|ACCOUNT","type","strong"
"PCB.ACCT.CONSOL>CONSOL.KEY",,
"PCB.ACCT.CONSOL>ASSET.TYPE",,
"PD.ACTIVITY>@ID",,
"PD.ACTIVITY>DESCRIPTION",,
"PD.ACTIVITY>HANDOFF.ROUTINE|PGM.FILE","type","strong"
"PD.ADVICES>@ID",,
"PD.ADVICES>DESCRIPTION",,
"PD.ADVICES>USE.RECORD|PD.ADVICES","type","strong"
"PD.ADVICES>MESSAGE.TYPE|DE.MESSAGE","type","strong"
"PD.ADVICES>PRINT.FORMAT",,
"PD.ADVICES>DEAL.SLIP|DEAL.SLIP.FORMAT","type","strong"
"PD.ADVICES>USED.BY",,
"PD.ADVICES>CHARGE.TYPE",,
"PD.AMOUNT.TYPE>@ID",,
"PD.AMOUNT.TYPE>DESCRIPTION",,
"PD.AMOUNT.TYPE>TXN.CODE.DR|TRANSACTION","type","strong"
"PD.AMOUNT.TYPE>TXN.CODE.CR|TRANSACTION","type","strong"
"PD.AMOUNT.TYPE>TAX.CODE",,
"PD.AMOUNT.TYPE>PM.TYPE|PM.POSN.TYPE","type","strong"
"PD.AMOUNT.TYPE>BASE.TYPES",,
"PD.BALANCES>@ID",,
"PD.BALANCES>RECORD.START.DATE",,
"PD.BALANCES>CURRENCY|CURRENCY","type","strong"
"PD.BALANCES>PAYMENT.STATUS",,
"PD.BALANCES>PREVIOUS.STATUS",,
"PD.BALANCES>NO.DAYS.OVERDUE",,
"PD.BALANCES>BASE.EFF.DATE",,
"PD.BALANCES>BASE.AMOUNT",,
"PD.BALANCES>RATE.EFF.DATE",,
"PD.BALANCES>RATE",,
"PD.BALANCES>POST.START.DATE",,
"PD.BALANCES>POST.END.DATE",,
"PD.BALANCES>BASE2.EFF.DATE",,
"PD.BALANCES>BASE2.AMOUNT",,
"PD.BALANCES>RATE2.EFF.DATE",,
"PD.BALANCES>RATE2",,
"PD.BALANCES>POST2.START.DATE",,
"PD.BALANCES>POST2.END.DATE",,
"PD.BALANCES>PEN.CALC.DATE",,
"PD.BALANCES>PEN.INT.CALC.AMT",,
"PD.BALANCES>PEN.INT.ACCR.AMT",,
"PD.BALANCES>PEN.INT.NAB.AMT",,
"PD.BALANCES>PEN.INT2.CALC.AMT",,
"PD.BALANCES>PEN.INT2.ACCR.AMT",,
"PD.BALANCES>PEN.INT2.NAB.AMT",,
"PD.BALANCES>FROM.DATE.1",,
"PD.BALANCES>TO.DATE.1",,
"PD.BALANCES>NO.DAYS.1",,
"PD.BALANCES>BASE.AMT.1",,
"PD.BALANCES>RATE.1",,
"PD.BALANCES>ACCR.AMT.1",,
"PD.BALANCES>ACCR.ACT.AMT.1",,
"PD.BALANCES>POSTED.IND.1",,
"PD.BALANCES>FROM.DATE.2",,
"PD.BALANCES>TO.DATE.2",,
"PD.BALANCES>NO.DAYS.2",,
"PD.BALANCES>BASE.AMT.2",,
"PD.BALANCES>RATE.2",,
"PD.BALANCES>ACCR.AMT.2",,
"PD.BALANCES>ACCR.ACT.AMT.2",,
"PD.BALANCES>POSTED.IND.2",,
"PD.BALANCES>AMT.TYPE|PD.AMOUNT.TYPE","type","strong"
"PD.BALANCES>ORIGINAL.AMT",,
"PD.BALANCES>CURR.OS.AMT",,
"PD.BALANCES>CURR.OS.TAX",,
"PD.BALANCES>CURR.OS.ACCR",,
"PD.BALANCES>CURR.OS.NAB",,
"PD.BALANCES>REPAY.DATE",,
"PD.BALANCES>REPAY.AMT",,
"PD.BALANCES>ADJ.AMT",,
"PD.BALANCES>INT.REPAY.DATE",,
"PD.BALANCES>INT.REPAY.AMT",,
"PD.BALANCES>INT2.REPAY.DATE",,
"PD.BALANCES>INT2.REPAY.AMT",,
"PD.BALANCES>CALC.START.DATE",,
"PD.BALANCES>CONTRACT.ID",,
"PD.BALANCES>CUSTOMER.NO",,
"PD.BALANCES>PERIOD",,
"PD.BALANCES>PERIODS",,
"PD.BALANCES>PENALTY.SPREAD",,
"PD.BALANCES>CE.LAST.CAP.DATE",,
"PD.BALANCES>CS.LAST.CAP.DATE",,
"PD.BALANCES>DUE.TYPE",,
"PD.BALANCES>DUE.AMT",,
"PD.BALANCES>CREATE.DATE",,
"PD.BALANCES>LOAN.SPREAD",,
"PD.BALANCES>OP.BASIS.SET",,
"PD.BALANCES.HIST>@ID",,
"PD.BALANCES.HIST>RECORD.START.DATE",,
"PD.BALANCES.HIST>CURRENCY|CURRENCY","type","strong"
"PD.BALANCES.HIST>PAYMENT.STATUS",,
"PD.BALANCES.HIST>PREVIOUS.STATUS",,
"PD.BALANCES.HIST>NO.DAYS.OVERDUE",,
"PD.BALANCES.HIST>BASE.EFF.DATE",,
"PD.BALANCES.HIST>BASE.AMOUNT",,
"PD.BALANCES.HIST>RATE.EFF.DATE",,
"PD.BALANCES.HIST>RATE",,
"PD.BALANCES.HIST>POST.START.DATE",,
"PD.BALANCES.HIST>POST.END.DATE",,
"PD.BALANCES.HIST>BASE2.EFF.DATE",,
"PD.BALANCES.HIST>BASE2.AMOUNT",,
"PD.BALANCES.HIST>RATE2.EFF.DATE",,
"PD.BALANCES.HIST>RATE2",,
"PD.BALANCES.HIST>POST2.START.DATE",,
"PD.BALANCES.HIST>POST2.END.DATE",,
"PD.BALANCES.HIST>PEN.CALC.DATE",,
"PD.BALANCES.HIST>PEN.INT.CALC.AMT",,
"PD.BALANCES.HIST>PEN.INT.ACCR.AMT",,
"PD.BALANCES.HIST>PEN.INT.NAB.AMT",,
"PD.BALANCES.HIST>PEN.INT2.CALC.AMT",,
"PD.BALANCES.HIST>PEN.INT2.ACCR.AMT",,
"PD.BALANCES.HIST>PEN.INT2.NAB.AMT",,
"PD.BALANCES.HIST>FROM.DATE.1",,
"PD.BALANCES.HIST>TO.DATE.1",,
"PD.BALANCES.HIST>NO.DAYS.1",,
"PD.BALANCES.HIST>BASE.AMT.1",,
"PD.BALANCES.HIST>RATE.1",,
"PD.BALANCES.HIST>ACCR.AMT.1",,
"PD.BALANCES.HIST>ACCR.ACT.AMT.1",,
"PD.BALANCES.HIST>POSTED.IND.1",,
"PD.BALANCES.HIST>FROM.DATE.2",,
"PD.BALANCES.HIST>TO.DATE.2",,
"PD.BALANCES.HIST>NO.DAYS.2",,
"PD.BALANCES.HIST>BASE.AMT.2",,
"PD.BALANCES.HIST>RATE.2",,
"PD.BALANCES.HIST>ACCR.AMT.2",,
"PD.BALANCES.HIST>ACCR.ACT.AMT.2",,
"PD.BALANCES.HIST>POSTED.IND.2",,
"PD.BALANCES.HIST>AMT.TYPE|PD.AMOUNT.TYPE","type","strong"
"PD.BALANCES.HIST>ORIGINAL.AMT",,
"PD.BALANCES.HIST>CURR.OS.AMT",,
"PD.BALANCES.HIST>CURR.OS.TAX",,
"PD.BALANCES.HIST>CURR.OS.ACCR",,
"PD.BALANCES.HIST>CURR.OS.NAB",,
"PD.BALANCES.HIST>REPAY.DATE",,
"PD.BALANCES.HIST>REPAY.AMT",,
"PD.BALANCES.HIST>ADJ.AMT",,
"PD.BALANCES.HIST>INT.REPAY.DATE",,
"PD.BALANCES.HIST>INT.REPAY.AMT",,
"PD.BALANCES.HIST>INT2.REPAY.DATE",,
"PD.BALANCES.HIST>INT2.REPAY.AMT",,
"PD.BALANCES.HIST>CALC.START.DATE",,
"PD.BALANCES.HIST>PENALTY.SPREAD",,
"PD.BALANCES.HIST>CE.LAST.CAP.DATE",,
"PD.BALANCES.HIST>CS.LAST.CAP.DATE",,
"PD.BALANCES.HIST>DUE.TYPE",,
"PD.BALANCES.HIST>DUE.AMT",,
"PD.BALANCES.HIST>CREATE.DATE",,
"PD.BALANCES.HIST>LOAN.SPREAD",,
"PD.BALANCES.HIST>OP.BASIS.SET",,
"PD.BALANCES.SAVE>@ID",,
"PD.BALANCES.SAVE>RECORD.START.DATE",,
"PD.BALANCES.SAVE>CURRENCY|CURRENCY","type","strong"
"PD.BALANCES.SAVE>PAYMENT.STATUS",,
"PD.BALANCES.SAVE>PREVIOUS.STATUS",,
"PD.BALANCES.SAVE>NO.DAYS.OVERDUE",,
"PD.BALANCES.SAVE>BASE.EFF.DATE",,
"PD.BALANCES.SAVE>BASE.AMOUNT",,
"PD.BALANCES.SAVE>RATE.EFF.DATE",,
"PD.BALANCES.SAVE>RATE",,
"PD.BALANCES.SAVE>POST.START.DATE",,
"PD.BALANCES.SAVE>POST.END.DATE",,
"PD.BALANCES.SAVE>BASE2.EFF.DATE",,
"PD.BALANCES.SAVE>BASE2.AMOUNT",,
"PD.BALANCES.SAVE>RATE2.EFF.DATE",,
"PD.BALANCES.SAVE>RATE2",,
"PD.BALANCES.SAVE>POST2.START.DATE",,
"PD.BALANCES.SAVE>POST2.END.DATE",,
"PD.BALANCES.SAVE>PEN.CALC.DATE",,
"PD.BALANCES.SAVE>PEN.INT.CALC.AMT",,
"PD.BALANCES.SAVE>PEN.INT.ACCR.AMT",,
"PD.BALANCES.SAVE>PEN.INT.NAB.AMT",,
"PD.BALANCES.SAVE>PEN.INT2.CALC.AMT",,
"PD.BALANCES.SAVE>PEN.INT2.ACCR.AMT",,
"PD.BALANCES.SAVE>PEN.INT2.NAB.AMT",,
"PD.BALANCES.SAVE>FROM.DATE.1",,
"PD.BALANCES.SAVE>TO.DATE.1",,
"PD.BALANCES.SAVE>NO.DAYS.1",,
"PD.BALANCES.SAVE>BASE.AMT.1",,
"PD.BALANCES.SAVE>RATE.1",,
"PD.BALANCES.SAVE>ACCR.AMT.1",,
"PD.BALANCES.SAVE>ACCR.ACT.AMT.1",,
"PD.BALANCES.SAVE>POSTED.IND.1",,
"PD.BALANCES.SAVE>FROM.DATE.2",,
"PD.BALANCES.SAVE>TO.DATE.2",,
"PD.BALANCES.SAVE>NO.DAYS.2",,
"PD.BALANCES.SAVE>BASE.AMT.2",,
"PD.BALANCES.SAVE>RATE.2",,
"PD.BALANCES.SAVE>ACCR.AMT.2",,
"PD.BALANCES.SAVE>ACCR.ACT.AMT.2",,
"PD.BALANCES.SAVE>POSTED.IND.2",,
"PD.BALANCES.SAVE>AMT.TYPE|PD.AMOUNT.TYPE","type","strong"
"PD.BALANCES.SAVE>ORIGINAL.AMT",,
"PD.BALANCES.SAVE>CURR.OS.AMT",,
"PD.BALANCES.SAVE>CURR.OS.TAX",,
"PD.BALANCES.SAVE>CURR.OS.ACCR",,
"PD.BALANCES.SAVE>CURR.OS.NAB",,
"PD.BALANCES.SAVE>REPAY.DATE",,
"PD.BALANCES.SAVE>REPAY.AMT",,
"PD.BALANCES.SAVE>ADJ.AMT",,
"PD.BALANCES.SAVE>INT.REPAY.DATE",,
"PD.BALANCES.SAVE>INT.REPAY.AMT",,
"PD.BALANCES.SAVE>INT2.REPAY.DATE",,
"PD.BALANCES.SAVE>INT2.REPAY.AMT",,
"PD.BALANCES.SAVE>CALC.START.DATE",,
"PD.BALANCES.SAVE>PENALTY.SPREAD",,
"PD.BALANCES.SAVE>CE.LAST.CAP.DATE",,
"PD.BALANCES.SAVE>CS.LAST.CAP.DATE",,
"PD.BALANCES.SAVE>DUE.TYPE",,
"PD.BALANCES.SAVE>DUE.AMT",,
"PD.BALANCES.SAVE>CREATE.DATE",,
"PD.BALANCES.SAVE>LOAN.SPREAD",,
"PD.BALANCES.SAVE>OP.BASIS.SET",,
"PD.CAPTURE>@ID",,
"PD.CAPTURE>CONTRACT.NUMBER",,
"PD.CAPTURE>CUSTOMER|CUSTOMER","type","strong"
"PD.CAPTURE>CURRENCY|CURRENCY","type","strong"
"PD.CAPTURE>CURRENCY.MARKET|CURRENCY.MARKET","type","strong"
"PD.CAPTURE>POSITION.TYPE|FX.POS.TYPE","type","strong"
"PD.CAPTURE>CATEGORY|CATEGORY","type","strong"
"PD.CAPTURE>LIMIT.REFERENCE",,
"PD.CAPTURE>ACCOUNT.OFFICER|DEPT.ACCT.OFFICER","type","strong"
"PD.CAPTURE>INTEREST.BASIS|INTEREST.BASIS","type","strong"
"PD.CAPTURE>DEALER.DESK|DEALER.DESK","type","strong"
"PD.CAPTURE>PORTFOLIO.NUMBER",,
"PD.CAPTURE>TOTAL.OVERDUE.AMT",,
"PD.CAPTURE>NARRATIVE",,
"PD.CAPTURE>VALUE.DATE",,
"PD.CAPTURE>INTEREST.RATE",,
"PD.CAPTURE>INTEREST.KEY",,
"PD.CAPTURE>OUTSTANDING.BAL",,
"PD.CAPTURE>PAYMENT.TYPE|PD.AMOUNT.TYPE","type","strong"
"PD.CAPTURE>PAYMENT.AMT",,
"PD.CAPTURE>SETTLEMENT.ACCT|ACCOUNT","type","strong"
"PD.CAPTURE>NEXT.PD.ID",,
"PD.CAPTURE>PD.LOC.REF.NO",,
"PD.CAPTURE>PD.LOC.REF.DATA",,
"PD.CAPTURE>STMT.NO",,
"PD.CAPTURE>ACCRUAL.PARAM|EB.ACCRUAL.PARAM","type","strong"
"PD.CAPTURE>ROUNDING.RULE|EB.ROUNDING.RULE","type","strong"
"PD.CUSTOMER>@ID|CUSTOMER","type","strong"
"PD.CUSTOMER>DEAL.ID",,
"PD.ENT.TODAY>@ID",,
"PD.ENT.TODAY>CONTRACT.ID",,
"PD.ONLINE.PAYMENT>@ID",,
"PD.ONLINE.PAYMENT>TXN.REF",,
"PD.ONLINE.PAYMENT>ENTRY.ID",,
"PD.ONLINE.PAYMENT>VALUE.DATE",,
"PD.ONLINE.PAYMENT>ACCOUNT.NUMBER",,
"PD.ONLINE.PAYMENT>AMOUNT",,
"PD.ONLINE.PAYMENT>CCY",,
"PD.ONLINE.PAYMENT>THEIR.REFERENCE",,
"PD.ONLINE.PAYMENT>TXN.CODE.DR|TRANSACTION","type","strong"
"PD.ONLINE.PAYMENT>TXN.CODE.CR|TRANSACTION","type","strong"
"PD.ONLINE.PAYMENT>ORIG.ACCT.NO",,
"PD.OP.BALANCES.DATE.LIST>@ID",,
"PD.OP.BALANCES.DATE.LIST>CONTRACT.ID",,
"PD.OS.PRINC.MVMT>@ID",,
"PD.OS.PRINC.MVMT>EFF.DATE",,
"PD.OS.PRINC.MVMT>OS.AMOUNT",,
"PD.OS.PRINC.MVMT>SETTL.AMT",,
"PD.OS.PRINC.MVMT>EVENT.DATE",,
"PD.PARAMETER>@ID",,
"PD.PARAMETER>RETRY.DATE",,
"PD.PARAMETER>PE.CAP.DATE",,
"PD.PARAMETER>PS.CAP.DATE",,
"PD.PARAMETER>CAT.OD.INT.CUR|CATEGORY","type","strong"
"PD.PARAMETER>CAT.OD.INT.PRV.MTH|CATEGORY","type","strong"
"PD.PARAMETER>CAT.OD.INT.PRV.YR|CATEGORY","type","strong"
"PD.PARAMETER>CAT.OD.INT.NEW|CATEGORY","type","strong"
"PD.PARAMETER>CAT.OD.SPR.CUR|CATEGORY","type","strong"
"PD.PARAMETER>CAT.OD.SPR.PRV.MTH|CATEGORY","type","strong"
"PD.PARAMETER>CAT.OD.SPR.PRV.YR|CATEGORY","type","strong"
"PD.PARAMETER>CAT.OD.SPR.NEW|CATEGORY","type","strong"
"PD.PARAMETER>WOF.CATEGORY|CATEGORY","type","strong"
"PD.PARAMETER>TXN.CDE.WOF.DR|TRANSACTION","type","strong"
"PD.PARAMETER>TXN.CDE.WOF.CR|TRANSACTION","type","strong"
"PD.PARAMETER>TXN.CDE.ADJ.DR|TRANSACTION","type","strong"
"PD.PARAMETER>TXN.CDE.ADJ.CR|TRANSACTION","type","strong"
"PD.PARAMETER>TXN.CDE.REPAY.NET|TRANSACTION","type","strong"
"PD.PARAMETER>ACCR.CYCLE.LOCAL",,
"PD.PARAMETER>ACCR.CYCLE.FOREIGN",,
"PD.PARAMETER>GRACE.PERIOD.INT",,
"PD.PARAMETER>GRACE.PERIOD.SPRD",,
"PD.PARAMETER>NAB.PERIOD.INT",,
"PD.PARAMETER>NAB.PERIOD.SPRD",,
"PD.PARAMETER>SUB.PAY.SETTING",,
"PD.PARAMETER>STATUS.CHANGE",,
"PD.PARAMETER>ACTIVITY.CODE|PD.ACTIVITY","type","strong"
"PD.PARAMETER>MAXIMUM.LEGAL.RATE",,
"PD.PARAMETER>MINIMUM.RATE",,
"PD.PARAMETER>PENALTY.RATE",,
"PD.PARAMETER>PENALTY.KEY|BASIC.RATE.TEXT","type","strong"
"PD.PARAMETER>CONTRACT.METHOD",,
"PD.PARAMETER>PENALTY.SPREAD",,
"PD.PARAMETER>AUTO.ADJUST.SPREAD",,
"PD.PARAMETER>DEFAULT.CHARGES",,
"PD.PARAMETER>PEN.CALC.BASIS",,
"PD.PARAMETER>REPAYMENT.ORDER|PD.AMOUNT.TYPE","type","strong"
"PD.PARAMETER>REVERSE.PL.AT.NAB",,
"PD.PARAMETER>TXN.CDE.TAKEOVR.DR|TRANSACTION","type","strong"
"PD.PARAMETER>TXN.CDE.TAKEOVR.CR|TRANSACTION","type","strong"
"PD.PARAMETER>PRE.GRACE.PERIOD",,
"PD.PARAMETER>MIN.AUTO.PERCENT",,
"PD.PARAMETER>RETRY.FREQ",,
"PD.PARAMETER>CAT.PEN.FEE|CATEGORY","type","strong"
"PD.PARAMETER>CAT.PEN.FEE.NEW|CATEGORY","type","strong"
"PD.PARAMETER>ACCRUAL.TODAY",,
"PD.PARAMETER>PS.CALC.BASIS",,
"PD.PARAMETER>REPAYMENT.METHOD",,
"PD.PARAMETER>RETRY.REPAY.STATUS",,
"PD.PARAMETER>CRF.BY.TYPE.PREV",,
"PD.PARAMETER>CRF.BY.TYPE",,
"PD.PARAMETER>AC.CP.CATEG.FR|CATEGORY","type","strong"
"PD.PARAMETER>AC.CP.CATEG.TO|CATEGORY","type","strong"
"PD.PARAMETER>AC.CB.CATEG.FR|CATEGORY","type","strong"
"PD.PARAMETER>AC.CB.CATEG.TO|CATEGORY","type","strong"
"PD.PARAMETER>AC.OD.DAYS",,
"PD.PARAMETER>PE.CAP.FREQ",,
"PD.PARAMETER>PS.CAP.FREQ",,
"PD.PARAMETER>SMALL.AMT.CCY|CURRENCY","type","strong"
"PD.PARAMETER>SMALL.AMOUNT",,
"PD.PARAMETER>CONTRACT.GRP",,
"PD.PARAMETER>ADVICE.FREQ",,
"PD.PARAMETER>ADV.PD.START",,
"PD.PARAMETER>STATUS.ADV.STOP",,
"PD.PARAMETER>PD.STATUS",,
"PD.PARAMETER>CH.DAYS",,
"PD.PARAMETER>ACTIVITY|PD.ACTIVITY","type","strong"
"PD.PARAMETER>USE.AVBL.FUNDS",,
"PD.PARAMETER>SUSPEND.INCOME",,
"PD.PARAMETER>CHANGE.STATUS",,
"PD.PARAMETER>BACK.VAL.SUSP",,
"PD.PARAMETER>INTEREST.BASIS|INTEREST.BASIS","type","strong"
"PD.PARAMETER>PE.SWITCH.PERIOD",,
"PD.PARAMETER>POST.GR.PE.CALC|PD.AMOUNT.TYPE","type","strong"
"PD.PARAMETER>POST.GR.PS.CALC|PD.AMOUNT.TYPE","type","strong"
"PD.PARAMETER>RESTORE.CALC",,
"PD.PARAMETER>IMPACT.LIMIT",,
"PD.PARAMETER>FWOF.RPY.ORDER|PD.AMOUNT.TYPE","type","strong"
"PD.PARAMETER>ROUNDING.RULE|EB.ROUNDING.RULE","type","strong"
"PD.PARAMETER>WAIVE.GRA.PE",,
"PD.PARAMETER>WAIVE.GRA.PS",,
"PD.PARAMETER>PAYMENT.ROLLOVER",,
"PD.PARAMETER>INS.AMT.TYPES|PD.AMOUNT.TYPE","type","strong"
"PD.PAYMENT.DUE>@ID",,
"PD.PAYMENT.DUE>CUSTOMER.NAME",,
"PD.PAYMENT.DUE>CONTRACT.ID",,
"PD.PAYMENT.DUE>OPERATION",,
"PD.PAYMENT.DUE>CUSTOMER|CUSTOMER","type","strong"
"PD.PAYMENT.DUE>CURRENCY|CURRENCY","type","strong"
"PD.PAYMENT.DUE>CURRENCY.MARKET|CURRENCY.MARKET","type","strong"
"PD.PAYMENT.DUE>POSITION.TYPE|FX.POS.TYPE","type","strong"
"PD.PAYMENT.DUE>DEALER.DESK|DEALER.DESK","type","strong"
"PD.PAYMENT.DUE>ACCOUNT.OFFICER|DEPT.ACCT.OFFICER","type","strong"
"PD.PAYMENT.DUE>CATEGORY|CATEGORY","type","strong"
"PD.PAYMENT.DUE>INTEREST.BASIS|INTEREST.BASIS","type","strong"
"PD.PAYMENT.DUE>ORIG.STLMNT.ACT|ACCOUNT","type","strong"
"PD.PAYMENT.DUE>PENALTY.RATE",,
"PD.PAYMENT.DUE>PENALTY.KEY|BASIC.RATE.TEXT","type","strong"
"PD.PAYMENT.DUE>PENALTY.SPREAD",,
"PD.PAYMENT.DUE>PARAMETER.RECORD",,
"PD.PAYMENT.DUE>ORIG.LIMIT.REF",,
"PD.PAYMENT.DUE>LIMIT.REFERENCE",,
"PD.PAYMENT.DUE>LIMIT.AMOUNT",,
"PD.PAYMENT.DUE>TOTAL.AMT.TO.REPAY",,
"PD.PAYMENT.DUE>TOTAL.OVERDUE.AMT",,
"PD.PAYMENT.DUE>TOTAL.OVERDUE.TAX",,
"PD.PAYMENT.DUE>TOT.OVRDUE.TYPE|PD.AMOUNT.TYPE","type","strong"
"PD.PAYMENT.DUE>TOT.OD.TYPE.AMT",,
"PD.PAYMENT.DUE>FINAL.DUE.DATE",,
"PD.PAYMENT.DUE>PAYMENT.DTE.DUE",,
"PD.PAYMENT.DUE>PAYMENT.AMOUNT",,
"PD.PAYMENT.DUE>PAYMENT.AMT.TAX",,
"PD.PAYMENT.DUE>OUTSTANDING.AMT",,
"PD.PAYMENT.DUE>PAY.TYPE|PD.AMOUNT.TYPE","type","strong"
"PD.PAYMENT.DUE>PAY.AMT.ORIG",,
"PD.PAYMENT.DUE>PAY.AMT.OUTS",,
"PD.PAYMENT.DUE>PAY.AMT.OSTX",,
"PD.PAYMENT.DUE>REPAID.AMT",,
"PD.PAYMENT.DUE>ADJUSTED.AMT",,
"PD.PAYMENT.DUE>NEW.OUTS.AMT",,
"PD.PAYMENT.DUE>REPAID.STATUS",,
"PD.PAYMENT.DUE>SCHD.TYPE|PD.SCHEDULE.TYPE","type","strong"
"PD.PAYMENT.DUE>SCHD.DATE.FREQ",,
"PD.PAYMENT.DUE>SCHD.END.DATE",,
"PD.PAYMENT.DUE>SCHD.AMOUNT",,
"PD.PAYMENT.DUE>SCHD.RATE",,
"PD.PAYMENT.DUE>SCHD.SPREAD",,
"PD.PAYMENT.DUE>SCHD.NARR",,
"PD.PAYMENT.DUE>SCHD.ADV.SENT",,
"PD.PAYMENT.DUE>SCHD.PROC.DATE",,
"PD.PAYMENT.DUE>SCHD.ACTIVITY",,
"PD.PAYMENT.DUE>SCHD.CHG.CODE",,
"PD.PAYMENT.DUE>REPAYMENT.DATE",,
"PD.PAYMENT.DUE>REPAYMENT.REF",,
"PD.PAYMENT.DUE>REPAYMENT.ACCT|ACCOUNT","type","strong"
"PD.PAYMENT.DUE>TOT.REPAY.AMT",,
"PD.PAYMENT.DUE>TOT.AFTER.DEDUCT",,
"PD.PAYMENT.DUE>CHARGE.TYPE",,
"PD.PAYMENT.DUE>CHARGE.AMT",,
"PD.PAYMENT.DUE>CHARGE.TAX.CODE|TAX","type","strong"
"PD.PAYMENT.DUE>CHARGE.TAX.AMT",,
"PD.PAYMENT.DUE>CHARGE.TAX.LCY",,
"PD.PAYMENT.DUE>CHARGE.TAX.XRTE",,
"PD.PAYMENT.DUE>REPAY.TYPE|PD.AMOUNT.TYPE","type","strong"
"PD.PAYMENT.DUE>REPAY.AMT",,
"PD.PAYMENT.DUE>REPAY.DEFAULT",,
"PD.PAYMENT.DUE>REPAY.TAX.CODE|TAX","type","strong"
"PD.PAYMENT.DUE>REPAY.TAX.AMT",,
"PD.PAYMENT.DUE>REPAY.TAX.LCY",,
"PD.PAYMENT.DUE>REPAY.TAX.XRATE",,
"PD.PAYMENT.DUE>REPAY.DATE",,
"PD.PAYMENT.DUE>RD.AMT",,
"PD.PAYMENT.DUE>RD.TAX",,
"PD.PAYMENT.DUE>RD.TAX.LCY",,
"PD.PAYMENT.DUE>NET.CUST.ENTRIES",,
"PD.PAYMENT.DUE>PORTFOLIO.NUMBER",,
"PD.PAYMENT.DUE>CONSOL.KEY",,
"PD.PAYMENT.DUE>STATUS",,
"PD.PAYMENT.DUE>NOTES",,
